ID,Chorągiew,Nazwa bazy/ośrodka,Województwo na terenie którego mieści się baza.,Adres bazy,Kod pocztowy,Miasto,Ulica,Numer,Koordynaty GPS,X,Y,Kontaktowy adres e-mail,Kontaktowy numer telefonu,Baza jest czynna:,"Formy, które można zorganizować na bazie:",Położenie bazy:,Charakterystyka terenu,Dostępne formy zakwaterowania na bazie:,Zaplecze sanitarne:,Usługi bazy:,Możliwości programowe bazy:,Inne,Czy prześlesz zdjęcia bazy e-mailem?
43,Kujawsko-Pomorska,Ośrodek Wypoczynkowy Dzieci i Młodzieży w Cichem,kujawsko-pomorskie,"87-305 Zbiczno
Ciche 80a",,,,,,,,brodnica@zhp.pl,794951643,w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad jeziorem;,"Polana otoczona jest dużymi kompleksami leśnymi, pomiędzy rynną jezior Ciche-Zbiczno, a rynną jeziora Wielkie Partęczyny, gdzie czas płynie leniwie, a każdy spragniony czystego powietrza i kąpieli w jeziorach turysta poczuje
się spełniony.
 
W bezpośrednim sąsiedztwie Ośrodka błyszczy tafla jeziora Ciche, które przez wiele osób uważane jest za najpiękniejsze jezioro na Pojezierzu Brodnickim. Należy ono do jezior rynnowych o silnie wydłużonym południkowo kształcie i jest wyjątkowo atrakcyjne dla uprawiania turystyki wodnej i wędko­wania. O dobrej jakości jego wód świadczą korzystne warunki tlenowe i stosunkowo wysoka przejrzystość wody.",budynek;domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety przenośne (np. toi-toi);toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;drukarka dostępna dla kadry;komputer dostępny dla kadry;prąd dla obozów;,boisko;kąpielisko;kajaki;żaglówki;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;,,tak
44,Śląska,"Stanica Harcerska ""Słoneczna Polana"" w Bierach",śląskie,"43-386 Biery 320 (ul. Sportowa), leśnictwo Jaworze",,,,,"49°47'26.5""N 18°54'22.6""E lub 49.790697, 18.906271",,,tomasz.kazubski@zhp.net.pl,602664686,cały rok,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad rzeką;w górach;,"Teren obozowiska jest płaski, na bazie drzewa iglaste, za płotem las mieszany, od 2020 roku będzie miejsca dla ok. 150 osób pod namiotami jako 1 duży obóz lub kilka małych, dodatkowo ok. 30 miejsc w domkach/kempingach.",budynek;domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;prąd dla obozów;,boisko;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;,"5 km od Stanicy znajduje się przedwojenna Stanica Kamińskiego, czyli Centralna Szkoła Instruktorska Harcerstwa Męskiego w Górkach Wielkich https://www.facebook.com/StanicaKaminskiego oraz http://stanicakaminskiego.pl/

Fb bazy obozowej: https://www.facebook.com/Biery2016/",tak
45,Śląska,Baza Obozowa w Ustroniu - Lipowcu,śląskie,"43-431 Ustroń, ul. Bernadka 9, leśnictwo Równica",,,,,"49°45'26.2""N 18°48'46.7""E lub 49.757267, 18.812980",,,tomasz.kazubski@zhp.net.pl,602664686,cały rok,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad rzeką;w górach;,"Teren płaski, las sosnowy. Miejsce dla dużego obozu na 150 osób pod namiotami oraz 80 osób w domkach lub kempingach. Może być 1 duży obóz lub kilka małych.",budynek;domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;prąd dla obozów;,boisko;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;,"5 km od bazy znajduje się przedwojenna Stanica Kamińskiego, czyli Centralna Szkoła Instruktorska Harcerstwa Męskiego w Górkach Wielkich https://www.facebook.com/StanicaKaminskiego oraz http://stanicakaminskiego.pl/

Fb bazy: https://www.facebook.com/bazalipowiec/",tak
46,Łódzka,"""Harcerska Polana"" w Strużnicy",dolnośląskie,"58-533 Mysłakowice
Strużnica
leśnictwo Strużnica",,,,,,,,strużnica@zhp.net.pl,+48 604 056 067,w sezonie letnim,obóz/kolonia;,leśne polany;w lesie;w górach;,"Baza działa od 1972 roku, znajduje się w Rudawach Janowickich u podnóża Skalnika (945 m n.p.m.), na polanach otoczonych dwoma strumieniami górskimi i lasem iglastym.  Zlokalizowana w odległości ok. 1 km na południe od wsi Strużnica. Możliwość rozstawiania małych i dużych obozów.",namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety przenośne (np. toi-toi);krany;,opieka medyczna;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;internet dostępny dla kadry;drukarka dostępna dla kadry;,krąg ogniskowy;,"Baza sezonowa, część infrastruktury półstała, własne ujęcie wody pitnej. Przeznaczona raczej dla doświadczonych harcerzy, zwłaszcza zamiłowanych turystów.",tak
47,Krakowska,Obóz Hufca Gorczańskiego ZHP Chorągwi Krakowskiej w Pobierowie ,zachodniopomorskie,"72-346, Pobierowo, ul. Grunwaldzka, działka leśna 510b, gmina Rewal",,,,,"54°03'13.8""N 14°54'45.4""E ",,,jasinae@op.pl,608 651 432,w sezonie letnim,obóz/kolonia;,w lesie;nad morzem;,"Działka leśna na terenie Pobierowa o wielkości ok 2 Ha, zalesiona. Miejsce na jeden duży obóz (około 4-5 podobozów)",namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety przenośne (np. toi-toi);krany;prysznice;ciepła woda;,opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;internet dostępny dla kadry;drukarka dostępna dla kadry;komputer dostępny dla kadry;prąd dla obozów;,boisko;kąpielisko;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;,,tak
48,Łódzka,Ośrodek Szkoleniowo - Wypoczynkowy Hufca ZHP Pabianice w Małeczu,łódzkie,"Małecz 50, Lubochnia 97-217",,,,,"51.6194023,19.9881688",,,malecz@zhp.pl,502 851 997,w sezonie letnim,"zloty, szkolenia, pikniki;obóz/kolonia;biwak/rajd/weekendowe kursy;",w lesie;,"Teren ośrodka to ponad 8 ha ogrodzonej ziemi, na którym znajduję się zabytkowy park oraz dwór z XIX wieku.  W obrębie ośrodka znajduję się 17 domków letniskowych (12 z łazienkami), ambulatorium, sanitariaty i budynek kuchni wraz ze stołówką, boiska sportowe.  Na ośrodku organizujemy zarówno obozy pod namiotami jak i kolonie zuchowe w domkach czy dworku. Ośrodek gościł duże wydarzenia harcerskie jak Wędrownicza Watra czy Polowa Zbiórka Harcerzy Starszych, dzięki czemu jest dostosowany do wydarzeń na ponad 400 osób. W okresie wiosenno - jesiennym co tydzień ośrodek zapełniony jest przez środowiska harcerskie i nie tylko! Ośrodek posiada na wyposażeniu dużą liczbę sprzętu sportowego, która zapewni aktywność na dwóch boiskach (do piłki nożnej i siatkówki). ",budynek;domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety przenośne (np. toi-toi);toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;możliwość budowania pionierki;internet dostępny dla kadry;drukarka dostępna dla kadry;komputer dostępny dla kadry;prąd dla obozów;,boisko;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;,,tak
49,Łódzka,Kostiuchnówka,łódzkie,"44630 Kostiuchnówka, ul. Centralna 80a, leśnictwo Wołczeck, rejon Maniewicze, obwód wołyński, Ukraina",,,,,"51°20'56.0""N 25°45'30.9""E",,,kostiuchnowka@zhp.pl,"+48 600-361-600, +380 96 275 2198",cały rok,"konferencje, szkolenia;obóz/kolonia;zimowisko;biwak/rajd/weekendowe kursy;",w lesie;,"Okolica to Polesie Wołyńskie na Ukrainie, które charakteryzuje się terenem równinnym, dominują lasy sosnowe, łąki i pola, od wschodu rzeka Styr. 
1. W budynku - 50 miejsc noclegowych w kilkuosobowych pokojach z łazienkami, kuchnia, stołówka, boisko, park, miejsce ogniskowe, parking, sala konferencyjna, sala tradycji o historii Legionów Polskich, Wołyniu, historii harcerstwa.
2. W Polskim Lasku - baza namiotowa w lesie sosnowym 1.5 km od ośrodka, własne ujęcie wody, kuchnia polowa, możliwość pionierki obozowej, miejsce dla jednego dużego obozu lub 3 małych (łącznie do 150 osób), parking.",budynek;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety przenośne (np. toi-toi);toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;internet dostępny dla kadry;drukarka dostępna dla kadry;komputer dostępny dla kadry;sklepik;prąd dla obozów;,boisko;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;,"Baza oznaczona też jest na Google maps jako Centrum Dialogu Kostiuchnówka, fanpage fb.com/kostiuchnowka",tak
50,Kujawsko-Pomorska,Harcerski Ośrodek Obozowy PÓLKO,kujawsko-pomorskie,"86-010 Koronowo, leśnictwo Pólko, Nadleśnictwo Różanna
Harcerski Ośrodek Obozowy PÓLKO",,,,,"53.316620, 17.990243",,,polko@zhp.net.pl,+48 696811198,w sezonie letnim,"zielone szkoły, imprezy okolicznościowe, ;obóz/kolonia;biwak/rajd/weekendowe kursy;",w lesie;nad jeziorem;,Baza harcerska położona na terenie leśnym z przewagą drzew sosnowych. Teren pozwala na rozbijanie małych (20-30 osobowych) i dużych (150-200) kręgów obozowych.  Łącznie można pomieści do 400 osób.,budynek;domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,"kontenery sanitarne (umywalkowe, prysznicowe);toalety przenośne (np. toi-toi);toalety murowane;prysznice;ciepła woda;",opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;sklepik;,boisko;kąpielisko;kajaki;żaglówki;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;,"Harcerski Ośrodek Obozowy w PÓLKU koło Koronowa nad Zalewem Koronowskim jest doskonałym miejscem
na biwaki i obozy letnie. Odbywają się tu zarówno obozy szkoleniowe, jak i wypoczynkowe. Dzięki walorom
krajobrazowym okolic i wyposażeniu ośrodka, pobyt w nim jest przyjemny, bezpieczny. Pobliskie tereny
zachęcają do wędrówek. Ośrodek jest nastawiony na przyjmowanie przede wszystkim gromad zuchowych,
drużyn harcerskich i innych jednostek organizacyjne realizujących obozy pod namiotami.
Na terenie ośrodka znajduje się wybudowany w 2014 roku budynek, w którym mieści się dobrze wyposażona
kuchnia, stołówka, zaplecze sanitarne oraz świetlice programowe. Ośrodek zapewnia całodobową opiekę
pielęgniarską oraz izolatką. Posiada własne, strzeżone kąpielisko, miejsce ogniskowe oraz boisko do piłki nożnej i siatkówki.
Z ośrodka można wyruszyć na wędrówki piesze lub rowerowe, poznawać uroki Zalewu Koronowskiego,
zwiedzać pobliskie miejscowości: Koronowo gdzie znajduje się największa w okolicy tama z elektrownią wodną,
Pieczyska, Kręgiel, Nowy Jasiniec z ruinami Zamku Krzyżackiego z XVI wieku, Stopka, Tryszczyn czy Samociążek.",tak
51,Mazowiecka,Stanica Harcerska Chorągwi Mazowieckiej ZHP w Gorzewie,mazowieckie,09 - 500 Gostynin (Gorzewo) Leśnictwo KRUK,,,,,Szerokość geograficzna : 52.47784435 Długość geograficzna : 19.5292700315551543,,,www.mazowiecka.zhp.pl     oraz stanica.mazowiecka.zhp.pl,"(24)262 - 92 -13 , (24) 253 - 16 - 36",w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad jeziorem;, Teren płaski  las większości sosnowy z miejscami dla wielu obozów dużych i małych.,namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;internet dostępny dla kadry;drukarka dostępna dla kadry;komputer dostępny dla kadry;sklepik;prąd dla obozów;,"boiska do piłki siatkowej, nożnej oraz stoły do tenisa ;boisko;kąpielisko;kajaki;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;","Stanica zlokalizowana jest w kompleksie lasów iglastych i 108 jezior Pojezierza Gostynińskiego. Najbliższe z nich to: J.Sumino , J.Białe, J. Drzesno, i J. Lucieńskie. Za pośrednictwem szlaków które krzyżują się na terenie stanicy można dotrzeć i poznać szereg urokliwych miejsc. Na życzenie gości organizujemy wycieczki autokarowe do: Płocka, Ciechocinka, Torunia, Żelazowej Woli, Łowicza, Warszawy, Gniezna, Biskupina, Lichenia oraz stadniny ogierów w Łącku. Zapewniamy namioty 10 osobowe typ. NS wyposażone w regały, kanadyjki,materace , pościel, poduszki i koce",tak
52,Śląska,Ośrodek Harcerski w Krynicy Morskiej,pomorskie,"82-120 Krynica Morska
ul. Słoneczna 1",,,,,,,,bogusz.domagala@zhp.net.pl,505 080 665,w sezonie letnim,obóz/kolonia;,w lesie;nad morzem;,"Teren okalający bazę jest terenem leśnym sosnowo-bukowym, doskonałym go gier terenowych. W lesie znajduje się także piaszczyste miejsce na którym został wykonany krąg ogniskowy. Drugi znajduje się na terenie bazy w bliskiej odległości od obozowisk. Plac jest jeden duży na terenie samej bazy, przy stołówce oraz budynkach komendy. Można go podzielić na 2-3 mniejsze place obozowe",namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety przenośne (np. toi-toi);krany;prysznice;ciepła woda;,opieka medyczna;ratownik wodny;możliwość budowania pionierki;prąd dla obozów;,kąpielisko;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;,"Jeśli chodzi o namioty – preferujemy używanie naszych namiotów, ale opcja przywiezienia własnych może być negocjowana.
Drukarka także jest dostępna na bazie – jednak do użytku administracyjnego bazy, dla kadry obozów raczej awaryjnie.
Pionierka ogranicza się do pionierki zastępów oraz ogólnoobozowej (występującej poza namiotami) zależnie od ustawienie danego obozu, możliwość budowy bramy trzeba konsultować z komendą zgrupowania
Na uczestników obozów czekają namioty typu NS w stanie dobrym i bardzo dobrym (nowe namioty) gotowe na przyjęcie maksymalnie 140 osób. Większość kojek jest już wymieniona na nowe, pozostałe są w dobrym stanie. Część lateksów została już zastąpiona materacami. Każdy uczestnik zostanie wyposażony w koc. Ze względu na piaszczysty teren w namiotach znajdują się podłogi, a także półki.
Dojście z bazy na plaże zajmuje około 3 minut. 
",tak
53,Białostocka,Baza harcerska  Garbaś,podlaskie,"16-424 l Filipów,  Garbas ",,,,,,,,Suwalki@zhp.pl,515490577,w sezonie letnim,Spływy  kajakowe ;obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad jeziorem;,"Baza mogąca  pomiescic  do 200 osób, 3 domki po 10 osób.
Lasy iglaste  i piękny Suwalski  Park Krajobrazowy",domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety przenośne (np. toi-toi);krany;prysznice;ciepła woda;,opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;prąd dla obozów;,boisko;kąpielisko;krąg ogniskowy;zadaszona świetlica;,,nie
54,Białostocka,Sucha Rzeczka,podlaskie,"Sucha Rzeczka, leśnictwo Przewięź",,,,,"53°53'55.7""N 23°11'40.8""E",,,augustow@zhp.pl,691782271,w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad jeziorem;,"teren płaski, przy brzegu opada w kierunku jeziora, miejsce dla kilka małych obozów",domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety przenośne (np. toi-toi);krany;prysznice;,oświetlenie terenu bazy;ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;drukarka dostępna dla kadry;prąd dla obozów;,zadaszona stołówka/świetlica;boisko;kąpielisko;kajaki;krąg ogniskowy;,"Baza nad samym brzegiem jez. Serwy, na szlaku kajakowym Czarnej Hańczy i Kanału Augustowskiego, do Augustowa 16 km (dworzec PKP, PKS).",tak
55,Łódzka,Baza Hufca ZHP Pabianice w Rogowie,zachodniopomorskie,72-330 Mrzeżyno leśnictwo Mrzeżyno powiat Trzebiatów,,,,,,,,pabianice@zhp.pl,501-899-351,w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,nad morzem;," Baza znajduje się w lesie w odległości ok. 1 km od centrum Mrzeżyna i ok. 100 m. od brzegu morskiego. Przejście z terenu bazy na plażę  która  jest wyjątkowo szeroka to przyjemna wędrówka przez las sosnowy (ok. 5 min.).  Morze jest czyste i ma łagodne zejście zapewniające bezpieczną kąpiel. Baza posiada doskonałe warunki do aktywnego wypoczynku nad wodą, Na terenie jest możliwość rozbicia 3 niezależnych podobozów. ",namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety przenośne (np. toi-toi);krany;prysznice;ciepła woda;,opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;drukarka dostępna dla kadry;prąd dla obozów;,boisko;kąpielisko;krąg ogniskowy;zadaszona świetlica;,,tak
56,Łódzka,Stanica Hufca ZHP Pabianice w Dwerniku,podkarpackie,"38-713 Lutowiska, Dwernik 9, leśnictwo Dwerniczek",,,,,"49°13'10.4""N 22°38'07.3""E",,,pabianice@zhp.pl; biuro@pabianice.zhp.pl,+48 501 899 351,w sezonie letnim,obóz/kolonia;,w górach;,"Baza umiejscowiona jest w jednych z najpiękniejszych polskich gór u podnóża góry Otryt, nad rzeką San. Dobra lokalizacja zachęca do wędrówek Połoniną Wetlińską i Caryńską oraz zdobywania takich szczytów jak Dwernik Kamień czy Otryt. Szlaki wyznaczone na terenie Bieszczadzkiego Parku Narodowego stwarzają dużo możliwości uprawiania turystyki rowerowej. Bogate dziedzictwo przyrodniczo-kulturowe zachęca do poszerzenia horyzontów i zdobywania nowej wiedzy. Baza posiada murowane sanitariaty, oraz świetlice.
Baza umożliwia stworzenie kilku podobozów, na polanach na wzniesieniach.",namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;drukarka dostępna dla kadry;sklepik;prąd dla obozów;,kąpielisko;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;,,tak
57,Wielkopolska,"Ośrodek Szkolno Wypoczynkowy ""Pajęczyna"" Hufca ZHP Jarocin",wielkopolskie,"62-085 Skoki, Rościnno, nadleśnictwo Durowo, Leśnictwo Owczegłowy",,,,,,,,lukasz.mitschke@zhp.net.pl,601 159 277; 531 770 908,w sezonie letnim,"festyny integracyjne, zielone szkoły;obóz/kolonia;biwak/rajd/weekendowe kursy;",w lesie;nad jeziorem;,"Ośrodek położony jest w Dolinie Wełny w okolicy Puszczy Zielonka między dwoma jeziorami: Budziszewskim i Czarnym. Teren pagórkowaty, las mieszany z przewagą drzew iglastych. Miejsce namiotowe dla 120 osób, pobyt w domkach dla 50 osób. W pobliżu przebiegają liczne szlaki i trasy, z czego do najważniejszych należą: Cysterski Szlak Rowerowy w Północnej Wielkopolsce, Czerwony Wojewódzki Szlak Pieszy, Wielkopolska Droga Św. Jakuba, Szlak Kościołów Drewnianych wokół Puszczy Zielonka. ",campery;domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety przenośne (np. toi-toi);toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna w Ośrodku Zdrowia;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;drukarka dostępna dla kadry;sklepik;prąd dla obozów;,"świetlica otwarta, piaskownica dla dzieci, plac taneczny, radiowęzeł, rowery, pontony, miejsce do grilla, kapliczka na msze polową;kajaki;sprzęt sportowy;krąg ogniskowy;świetlica w budynku;","Ośrodek posiada murowaną stołówkę posiadającą podjazd dla osób niepełnosprawnych. Część domków wyposażona jest również w podjazdy dla niepełnosprawnych oraz toalety. Kąpielisko znajduje się w odległości 3 km od Ośrodka (Jezioro Czarne). Przy Ośrodku znajduje się plaża oraz pomost. Boisko oraz plac zabaw znajdują się w pobliskiej miejscowości Rościnno ok 2 km od ośrodka.  Możliwość zorganizowania paintballa, spływów kajakowych, ścianki wspinaczkowej - odpłatnie po wcześniejszym uzgodnieniu. ",tak
58,Wielkopolska,obóz Harcerski pod namiotami Hufiec ZHP Koło,pomorskie,"64-210 Choczewo, Kopalino 116, Nadleśnictwo Choczewo, Leśnictwo Kopalino",,,,,,,,kolo@zhp.wlkp.pl,63 2721334,w sezonie letnim,obóz/kolonia;,w lesie;nad morzem;,"Teren nadmorski, wydmowo- leśny. Baza położona jest w lesie z wygodnym dojściem do pięknej, czystej i szerokiej plaży. Przylegające do obozu tereny o zróżnicowanym ukształtowaniu pozwalają na wytyczenie boisk oraz na prowadzenie wszelkich gier i zajęć terenowych. ",namioty (baza udostępnia własne namioty);,prysznice przenośne (np. firmy TOI TOI);toalety przenośne (np. toi-toi);krany;ciepła woda;,opieka medyczna;ratownik wodny;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;internet dostępny dla kadry;drukarka dostępna dla kadry;komputer dostępny dla kadry;prąd dla obozów;,"kąpielisko niestrzeżone, miejsce przeznaczone do kąpieli, ;boisko;sprzęt sportowy;zadaszona świetlica;",,tak
59,Wielkopolska,Harcerskie Centrum Edukacji Ekologicznej i Żeglarstwa Hufca ZHP Leszno,wielkopolskie,"HCEEiŻ ZHP Leszno, Dąbcze ul. Nad Zalewem, 64-130 Rydzyna, ",,,,,"51.797927, 16.654387",,,leszno@zhp.wlkp.pl,697 293 583,w sezonie letnim,biwak/rajd/weekendowe kursy;,"nad zbiornikiem wodnym, retencyjnym;","Teren ogrodzony: dł ca. 800m x szer. 15-17m. Na terenie: ""kontener"" biurowy, dwa ""kontenery"" sanitarne (toalety i prysznice), ""kontener"" kuchenny, wiata wielofunkcyjna, pozostała część - teren zielony. Obiekt w rozbudowie. Istnieje możliwość prowadzenia zajęć na zbiorniku wodnym. 
",namioty (można rozbić własne namioty);,kontenery sanitarne;krany;prysznice;ciepła woda;,prąd dla obozów;,krąg ogniskowy;świetlica w budynku;,Wyżywienie własne.,tak
60,Wielkopolska,Baza Szkoleniowo-wypoczynkowa Ośrodka ZHP Buk w Rybojedzku,wielkopolskie,"62-060 Stęszew , Rybojedzko
",,,,,"52°18'02.7""N 16°37'56.3""E",,,dariusz.sokolowski@zhp.net.pl,602865247,w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad jeziorem;,"Baza znajduje się na terenie gminy Stęszew. Bliskość Wielkopolskiego Parku Narodowego, jeziora Strykowskiego, rezerwatu przyrody ścisłego ""Bagna Trzcielińskie"", pomnika przyrody ""Źródełko"" w Żarnowcu umożliwia realizację ciekawego i atrakcyjnego programu proekologicznego jak i czynnego wypoczynku. Nasza baza jest w całości ogrodzona i oświetlona, posiada nowy węzeł sanitarny (ubikacje, umywalnie i prysznice), kuchnię z pełnym wyposażeniem, stołówkę na 50 osób jednorazowo, 2 boiska do gry (w siatkówkę oraz koszykówkę), plac zabaw. Dużą atrakcję stanowi kręg ogniskowy, grill wraz zadaszonymi ławkami biesiadnymi na 70 osób. Bazę noclegową stanowią domki campingowe na 36 osób oraz miejsca w namiotach 10 - cio osobowych na 70 osób.
",domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety murowane;krany;prysznice;ciepła woda;,możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;prąd dla obozów;,miejsce przeznaczone do kąpieli;boisko;zadaszona świetlica;,Baza zapewnia wyżywienie. Istnieje również możliwość wyżywienia własnego. ,tak
61,Wielkopolska,"Stanica Harcerska ""Watra"" Hufca ZHP Kępno",wielkopolskie,"63-507 Kobyla Góra, Sikorskiego 12, Przedborów
",,,,,"szerokość - 51.385175, długość - 17.830545",,,kepno@zhp.wlkp.pl,508 693 514,w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad jeziorem;,"Stanica znajduje się na terenie wzgórz ostrzeszowskich, w środku lasu sosnowego o klimacie zbliżonym do zakopiańskiego. Na terenie stanicy znajdują się 2 miejsca na ognisko. Na stanicy istnieje możliwość rozbicia wielu małych lub kilka dużych obozów.
",namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety murowane;krany;prysznice;ciepła woda;,ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;prąd dla obozów;,boisko;kąpielisko;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;,Stanica zapewnia wyżywienie. Istnieje również możliwość wyżywienia własnego.,tak
62,Dolnośląska,Baza obozowa Hufca ZHP Ziemi Wałbrzyskiej w Wilczu,wielkopolskie,"64-224 Wilcze, ulicy brak, leśnictwo Świętno",,,,,,,, miroslaw.turzanski@zhp.net.pl,661217066,w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad jeziorem;,"Baza znajduje się nad Jeziorem Wuszno w jego sąsiedztwie  są również dwa inne jeziora. Mamy własną piaszczystą plaże i duży pomost. Teren to głównie sosnowy las choć gdzieniegdzie można spotkać także brzozy i dęby. W okolicy płynie też rzeka Obra. Posiadamy miejsca przewidziane dla obozów małych, dużych, bardzo dużych i wielkich. Łącznie jesteśmy wstanie pomieścić pod namiotami (wysokie dychy, niskie dychy, szóstki, dwunastki oraz NS) 450 osób. Teren jest tak duży, że każde środowisko może zachować odpowiednią dla siebie odległość i komfort. Istniej możliwość doprowadzenia prądu do większości miejsc. Prowadzimy segregacje śmieci. Można budować bram prycze a także organizować Chatek Robinsona oraz wszelkie inne formy związane z leśnymi harcami. ",domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety przenośne (np. toi-toi);toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość dostosowania menu;drukarka dostępna dla kadry;prąd dla obozów;,"2 specjalne miejsca obrzędowe, przy bazie znajduje się także duża polana;kąpielisko;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;","Nasza baza znajduje się 30 km od Wolsztyna a 10 km od Kargowej. Położona jest w samym lesie, pełnym ciszy i leśnego spokoju. W okolicy jest wieża widokowa w Świetnie, muzeum pożarnictwa w Rakoniewicach oraz muzeum kolejnictwa i parowozownia w Wolsztynie. W kierunku na Kargową znajduje się też wioska indiańska. Niedaleko bazy w Rudnie można wynająć kajaki. W okolicy znajduje się też rzeka Obra na której organizowane są spływy kajakowe. Z dalszych atrakcji to około 80 km drogi od nas znajduje się Międzyrzecki Rejon Umocniony. Baza istniej od 1973 r. i jest zarządzana przez instruktorów hufca Wałbrzych. Od lat mamy też sprawdzoną ekipę kuchenną oraz kwatermistrzowską. Zapraszamy jesteśmy otwarci na różne propozycje i pomysły  :) 
",tak
